Year,Number of Filtered Fire Incidents,Yearly Mean Sunspots,,
1986,67651,14.8,,
1987,66278,33.9,,
1988,71834,123,,
1989,69762,211.1,,
1990,67252,191.8,,
1991,68807,203.3,,
1992,*,133,,
1993,71276,76.1,,
1994,69701,44.9,,
1995,67224,25.1,,
1996,72222,11.6,,
1997,59814,28.9,,
1998,61727,88.3,,
1999,64102,136.3,,
2000,56657,173.9,,
2001,52787,170.4,,
2002,47697,163.6,,
2003,47524,99.3,,
2004,44965,65.3,,
2005,44620,45.8,,
2006,65722,24.7,,Spearman Correlation: -0.15979672501411638
2007,68220,12.6,,p-value: 0.4774887142899461
2008,68014,4.2,,
Source:,,,,
1) 1986 - 2008 Fire Incidents,,,,
2) 1986 - 2008 Yearly Mean Sunspots,,,,
*Missing USFA fire incidents data for 1992. Failed to open the file,,,,
